BE/eV,In170109_1712_Ef
5.30000019073486,9.639629
5.28000019073486,9.662593
5.26000019073486,9.751848
5.24000019073486,9.722828
5.22000019073486,9.64202
5.20000019073486,9.542571
5.18000019073487,9.663538
5.16000019073486,9.627174
5.14000019073487,9.498295
5.12000019073486,9.616415
5.10000019073486,9.51714
5.08000019073486,9.628781
5.06000019073486,9.688137
5.04000019073487,9.740672
5.02000019073486,9.604636
5.00000019073487,9.755227
4.98000019073486,9.749458
4.96000019073486,9.837756
4.94000019073486,9.812012
4.92000019073486,9.90783
4.90000019073486,9.907455
4.88000019073486,9.95873
4.86000019073487,10.00328
4.84000019073486,9.743964
4.82000019073487,9.767529
4.80000019073486,10.03235
4.78000019073486,9.827346
4.76000019073486,9.913674
4.74000019073486,10.0764
4.72000019073486,9.867079
4.70000019073486,10.15296
4.68000019073487,10.04887
4.66000019073486,9.965856
4.64000019073487,10.14822
4.62000019073486,10.3239
4.60000019073486,10.23653
4.58000019073486,10.49266
4.56000019073486,10.24217
4.54000019073487,10.55707
4.52000019073486,10.38866
4.50000019073487,10.52396
4.48000019073486,10.60792
4.46000019073486,10.7666
4.44000019073486,10.78635
4.42000019073486,10.92361
4.40000019073486,10.76057
4.38000019073486,10.92852
4.36000019073487,10.96988
4.34000019073486,10.9352
4.32000019073487,11.33107
4.30000019073486,11.32589
4.28000019073486,11.26666
4.26000019073486,11.36885
4.24000019073486,11.40426
4.22000019073486,11.62213
4.20000019073486,11.34762
4.18000019073487,11.64354
4.16000019073486,11.53944
4.14000019073487,11.75325
4.12000019073486,11.597
4.10000019073486,11.86874
4.08000019073486,11.70261
4.06000019073486,11.93126
4.04000019073487,11.81924
4.02000019073486,11.80413
4.00000019073487,11.93988
3.98000019073486,12.00492
3.96000019073486,11.68725
3.94000019073486,12.14347
3.92000019073486,11.90289
3.90000019073486,12.15962
3.88000019073486,12.12739
3.86000019073487,12.25165
3.84000019073486,12.0622
3.82000019073487,12.19524
3.80000019073486,12.19233
3.78000019073486,12.45399
3.76000019073486,12.364
3.74000019073486,12.17504
3.72000019073486,12.25008
3.70000019073486,12.21747
3.68000019073487,12.56015
3.66000019073486,12.44089
3.64000019073487,12.55469
3.62000019073486,12.52064
3.60000019073486,12.61362
3.58000019073486,12.65483
3.56000019073486,12.71182
3.54000019073487,12.73261
3.52000019073486,13.13069
3.50000019073487,13.16625
3.48000019073486,12.88274
3.46000019073486,13.08306
3.44000019073486,12.90097
3.42000019073486,13.05689
3.40000019073486,13.18292
3.38000019073486,13.32363
3.36000019073487,13.35037
3.34000019073486,13.36388
3.32000019073487,13.33016
3.30000019073486,13.26548
3.28000019073486,13.5018
3.26000019073486,13.66565
3.24000019073486,13.7281
3.22000019073486,13.6428
3.20000019073486,13.65141
3.18000019073487,13.4402
3.16000019073486,13.59784
3.14000019073487,13.51713
3.12000019073486,13.55223
3.10000019073486,13.72723
3.08000019073486,13.55213
3.06000019073486,13.28305
3.04000019073487,13.49256
3.02000019073486,13.63834
3.00000019073487,13.47813
2.98000019073486,13.67872
2.96000019073486,13.41132
2.94000019073486,13.54519
2.92000019073486,13.4086
2.90000019073486,13.43916
2.88000019073486,13.63788
2.86000019073487,13.73339
2.84000019073486,13.67071
2.82000019073487,13.68853
2.80000019073486,13.72034
2.78000019073486,14.04223
2.76000019073486,14.12042
2.74000019073486,14.16464
2.72000019073486,14.14206
2.70000019073486,14.29029
2.68000019073487,14.42839
2.66000019073486,14.55511
2.64000019073487,14.62575
2.62000019073486,14.68865
2.60000019073486,14.48261
2.58000019073486,14.3382
2.56000019073486,14.51476
2.54000019073487,14.34086
2.52000019073486,14.33846
2.50000019073487,14.06024
2.48000019073486,13.66203
2.46000019073486,13.73878
2.44000019073486,13.4891
2.42000019073486,13.26127
2.40000019073486,13.14769
2.38000019073486,12.78286
2.36000019073487,12.56975
2.34000019073486,12.2602
2.32000019073487,11.83121
2.30000019073486,11.61892
2.28000019073486,11.25169
2.26000019073486,10.73909
2.24000019073486,10.26131
2.22000019073486,10.17412
2.20000019073486,9.638159
2.18000019073487,9.363557
2.16000019073486,8.840955
2.14000019073487,8.436837
2.12000019073486,8.041969
2.10000019073486,7.670111
2.08000019073486,7.161282
2.06000019073486,6.837922
2.04000019073487,6.60379
2.02000019073486,6.274577
2.00000019073487,5.840009
1.98000019073486,5.640885
1.96000019073486,5.307347
1.94000019073486,5.056262
1.92000019073486,4.808597
1.90000019073486,4.695911
1.88000019073486,4.352933
1.86000019073487,4.383742
1.84000019073486,4.081317
1.82000019073487,3.935829
1.80000019073486,3.735852
1.78000019073486,3.569818
1.76000019073486,3.440599
1.74000019073486,3.246753
1.72000019073486,3.187731
1.70000019073486,3.103495
1.68000019073487,3.001523
1.66000019073486,2.991581
1.64000019073487,2.888621
1.62000019073486,2.925744
1.60000019073486,2.794404
1.58000019073486,2.80684
1.56000019073486,2.739581
1.54000019073487,2.745023
1.52000019073486,2.78293
1.50000019073487,2.75653
1.48000019073486,2.655591
1.46000019073486,2.699922
1.44000019073486,2.708022
1.42000019073486,2.652378
1.40000019073486,2.623629
1.38000019073486,2.640324
1.36000019073487,2.601505
1.34000019073486,2.686073
1.32000019073487,2.699476
1.30000019073486,2.566083
1.28000019073486,2.6244
1.26000019073486,2.644046
1.24000019073486,2.538869
1.22000019073486,2.631806
1.20000019073486,2.539634
1.18000019073487,2.501747
1.16000019073486,2.614878
1.14000019073487,2.625934
1.12000019073486,2.620752
1.10000019073486,2.526239
1.08000019073486,2.533374
1.06000019073486,2.572475
1.04000019073487,2.543465
1.02000019073486,2.612333
1.00000019073487,2.452099
0.980000190734863,2.55776
0.96000019073486,2.517057
0.940000190734864,2.607758
0.920000190734861,2.510984
0.900000190734865,2.515639
0.880000190734862,2.446469
0.860000190734866,2.53896
0.840000190734862,2.539121
0.820000190734866,2.580867
0.800000190734863,2.510651
0.78000019073486,2.535718
0.760000190734864,2.46384
0.740000190734861,2.477009
0.720000190734865,2.501962
0.700000190734862,2.60247
0.680000190734866,2.503727
0.660000190734863,2.493876
0.640000190734867,2.467281
0.620000190734864,2.491485
0.60000019073486,2.530634
0.580000190734864,2.562949
0.560000190734861,2.546201
0.540000190734865,2.537533
0.520000190734862,2.485471
0.500000190734866,2.518346
0.480000190734863,2.475285
0.46000019073486,2.488419
0.440000190734864,2.42439
0.420000190734861,2.456457
0.400000190734865,2.377255
0.380000190734862,2.484997
0.360000190734866,2.411832
0.340000190734862,2.427206
0.320000190734866,2.450079
0.300000190734863,2.419371
0.28000019073486,2.352848
0.260000190734864,2.410467
0.240000190734861,2.31699
0.220000190734865,2.322577
0.200000190734862,2.294593
0.180000190734866,2.296654
0.160000190734863,2.233348
0.140000190734867,2.290588
0.120000190734864,2.132515
0.10000019073486,2.185388
0.0800001907348644,1.990415
0.0600001907348613,1.923592
0.0400001907348653,1.78839
0.0200001907348621,1.767623
1.90734866123421E-07,1.635329
-0.019999809265137,1.508673
-0.0399998092651401,1.4263
-0.0599998092651362,1.456882
-0.0799998092651393,1.372167
-0.0999998092651353,1.302389
-0.119999809265138,1.274428
-0.139999809265134,1.275745
-0.159999809265138,1.228314
-0.179999809265134,1.24106
-0.199999809265137,1.151544
-0.21999980926514,1.209393
-0.239999809265136,1.214848
-0.259999809265139,1.248725
-0.279999809265135,1.213969
-0.299999809265138,1.224489
-0.319999809265134,1.198723
-0.339999809265137,1.181356
-0.359999809265133,1.170122
-0.379999809265136,1.207966
-0.39999980926514,1.170912
-0.419999809265136,1.169598
-0.439999809265139,1.186095
-0.459999809265135,1.169727
-0.479999809265138,1.24351
-0.499999809265134,1.235732
-0.519999809265137,1.118111
-0.53999980926514,1.164508
-0.559999809265136,1.152664
-0.579999809265139,1.165086
-0.599999809265135,1.148708
-0.619999809265138,1.224903
-0.639999809265134,1.152535
-0.659999809265138,1.215474
-0.679999809265134,1.15664
-0.699999809265137,1.178888
-0.71999980926514,1.220234
-0.739999809265136,1.165884
-0.759999809265139,1.202862
-0.779999809265135,1.203433
-0.799999809265138,1.18099
-0.819999809265134,1.21327
-0.839999809265137,1.089596
-0.859999809265133,1.231781
-0.879999809265136,1.177574
-0.89999980926514,1.139725
-0.919999809265136,1.181107
-0.939999809265139,1.144256
-0.959999809265135,1.16984
-0.979999809265138,1.13365
-0.999999809265134,1.144007
-1.01999980926514,1.177128
-1.03999980926514,1.193843
-1.05999980926514,1.161592
-1.07999980926514,1.165779
-1.09999980926514,1.159573
-1.11999980926514,1.194567
-1.13999980926513,1.14182
-1.15999980926514,1.149524
-1.17999980926513,1.173545
-1.19999980926514,1.139403
-1.21999980926514,1.148637
-1.23999980926514,1.165559
-1.25999980926514,1.185752
-1.27999980926514,1.097842
-1.29999980926514,1.126102
-1.31999980926513,1.145285
-1.33999980926514,1.155154
-1.35999980926513,1.128618
-1.37999980926514,1.100035
-1.39999980926514,1.215402
-1.41999980926514,1.130381
-1.43999980926514,1.14742
-1.45999980926513,1.11938
-1.47999980926514,1.115412
-1.49999980926513,1.120326
-1.51999980926514,1.10719
-1.53999980926514,1.164052
-1.55999980926514,1.14445
-1.57999980926514,1.114503
-1.59999980926514,1.171863
-1.61999980926514,1.119931
-1.63999980926513,1.150917
-1.65999980926514,1.120259
-1.67999980926513,1.175536
-1.69999980926514,1.120593
